Distance (m),Elevation (m)
7407.349282,260.2365112
7420.318022,259.8173218
7433.286761,260.5650635
7446.255501,259.6741638
7459.22424,259.6741638
7472.19298,260.2139282
7485.161719,259.497345
7498.130459,261.3359985
7511.099198,257.9163818
7521.987551,257.9163818
7532.875905,257.6405029
7543.764258,258.2060242
7554.652611,259.1445923
7565.540964,258.9188843
7576.429317,258.9188843
7587.317671,259.3623657
7598.206024,258.4265442
7609.094377,258.5111084
7619.98273,257.9378052
7630.871083,258.2314453
7641.759436,258.9429321
7652.64779,258.9429321
7663.536143,262.0632629
7674.424496,262.6746826
7685.312849,263.379303
7696.201202,263.6313171
7707.089556,262.6802673
7717.977909,262.6802673
7728.866262,260.6633606
7741.028637,261.2562561
7753.191013,258.058075
7765.353388,258.5030823
7777.515764,260.5028687
7789.678139,258.4205627
7801.840514,261.0650635
7814.00289,260.5859375
7826.165265,261.9265137
7838.327641,261.6781616
7850.490016,263.3016052
7862.652392,263.6864014
7874.814767,264.2382202
7886.977142,264.6879578
7899.139518,264.6879578
7911.301893,264.2461548
7923.464269,264.5602417
7935.626644,264.8161316
7947.78902,263.2977295
7959.951395,263.2977295
7972.11377,262.3742065
7984.276146,263.7930298
7996.438521,261.3939514
8008.600897,261.8673401
8020.763272,258.4360657
8032.925648,258.4360657
8045.088023,257.0837097
8057.250398,262.2749939
8069.412774,261.9950867
8081.575149,262.8757019
8093.737525,265.8561401
8105.8999,263.1445007
8118.062275,265.7901917
8130.224651,263.1036682
8142.387026,262.1692505
8154.549402,260.5791931
8166.711777,266.6992188
8178.874153,266.6992188
8191.036528,264.4750671
8203.198903,264.452301
8215.361279,264.842804
8226.659526,266.1894226
8237.957772,265.3493347
8249.256019,266.5968018
8260.554266,266.8613892
8271.852513,266.9879456
8283.15076,268.5393677
8294.449006,267.4363708
8305.747253,267.4363708
8317.0455,267.8429871
8328.343747,268.2122192
8339.641994,267.7203979
8350.94024,269.5340271
8362.238487,268.9761658
8373.536734,268.3097534
8384.834981,268.5172729
8396.133228,268.5172729
8407.431474,267.7056274
8418.729721,267.7724304
8430.027968,268.5083923
8441.326215,268.9883728
8452.624461,266.7951965
8463.922708,266.7496643
8475.220955,268.5719299
